method_code,label,SLOC,CyclomaticComplexity,McClureComplexity,NestingDepth,ProxyIndentation,Readability,FanOut,HalsteadDifficulty,HalsteadEffort,MaintainabilityIndex
"@Override
public void collect(T record) {
    try {
        operator.processElement(serializer.copy(record));
    } catch (Exception e) {
        if (LOG.isErrorEnabled()) {
            LOG.error(""Could not forward element to operator."", e);
        }
        throw new RuntimeException(e);
    }
}",0,-0.14285714285714285,0.0,0.0,0.0,0.12831196764920771,-0.7300275482093666,-0.15384615384615385,-0.5605499941572858,-0.21628181354343692,0.21548780771828474
"boolean hasInputChannelWithData() {
    return !inputChannelsWithData.isEmpty();
}",1,-0.5238095238095238,-0.3333333333333333,0.0,-1.0,-0.5270812923370379,-0.6969696969696971,-0.46153846153846156,-0.625472286059284,-0.270222681857416,0.21548780771828474
"public static String encodeBase64String(byte[] binaryData) {
    return StringUtils.newStringUtf8(encodeBase64(binaryData, true));
}",1,-0.5238095238095238,-0.3333333333333333,0.0,-1.0,-0.5270812923370379,0.43939393939394006,-0.38461538461538464,-0.47940443267245736,-0.2532557713646916,0.21548780771828474
"@Override
public void copy(DataInputView source, DataOutputView target) throws IOException {
        target.writeBoolean(source.readBoolean());
    for (int i = 0; i < numFields; i++) {
        target.writeBoolean(source.readBoolean());
        fieldSerializers[i].copy(source, target);
    }
}",1,-0.2857142857142857,-0.16666666666666666,0.0,-0.5,0.0,-0.0691287878787877,-0.15384615384615385,0.05617769641257353,-0.10247316407412864,0.21548780771828474
"@Override
public void acquiring() {
    if (store.create(JOURNAL, singletonList(changes.asUpdateOp(getHeadRevision())))) {
        changes = JOURNAL.newDocument(getDocumentStore());
    }
}",0,-0.38095238095238093,-0.16666666666666666,0.0,-0.5,-0.16117390636534298,-0.4242424242424242,-0.07692307692307693,-0.5168562302808397,-0.23362320653827798,0.21548780771828474
"@Override
public void write(byte[] b, int off, int len) throws IOException {
    if (off == 0 || len == b.length) {
        write(b);
    } else {
        byte[] copy = new byte[len];
        System.arraycopy(b, off, copy, 0, len);
        write(copy);
    }
}",1,-0.19047619047619047,-0.16666666666666666,1.0,-0.5,-0.047233143921744054,-0.8037878787878789,-0.3076923076923077,0.13350601799555956,-0.06558899383475168,0.21548780771828474
"@Override
public Expression createExpression(CamelContext camelContext) {
    Expression answer;
    if (beanType == null && beanTypeName != null) {
        try {
            beanType = camelContext.getClassResolver().resolveMandatoryClass(beanTypeName);
        } catch (ClassNotFoundException e) {
            throw ObjectHelper.wrapRuntimeCamelException(e);
        }
    }
    if (beanType != null) {
                if (ObjectHelper.hasDefaultPublicNoArgConstructor(beanType)) {
            instance = camelContext.getInjector().newInstance(beanType);
            answer = new BeanExpression(instance, getMethod());
        } else {
            answer = new BeanExpression(beanType, getMethod());
        }
    } else if (instance != null) {
        answer = new BeanExpression(instance, getMethod());
    } else {
        String ref = beanName();
                BeanHolder holder = new RegistryBean(camelContext, ref);
                instance = holder.getBean();
        answer = new BeanExpression(ref, getMethod());
    }
    validateHasMethod(camelContext, instance, beanType, getMethod());
    return answer;
}",1,0.6666666666666666,0.5,1.0,0.0,0.3875392243555906,0.15124458874458838,0.9230769230769231,0.2536419584777781,0.4659547806599815,-0.7448354565992031
"protected final void setRunOptions(CompilerOptions options) throws FlagUsageException, IOException {
    DiagnosticGroups diagnosticGroups = getDiagnosticGroups();
    diagnosticGroups.setWarningLevels(options, config.jscompError, CheckLevel.ERROR);
    diagnosticGroups.setWarningLevels(options, config.jscompWarning, CheckLevel.WARNING);
    diagnosticGroups.setWarningLevels(options, config.jscompOff, CheckLevel.OFF);
    createDefineReplacements(config.define, options);
    options.manageClosureDependencies = config.manageClosureDependencies;
    options.devMode = config.jscompDevMode;
    options.setCodingConvention(config.codingConvention);
    options.setSummaryDetailLevel(config.summaryDetailLevel);
    inputCharset = getInputCharset();
    if (config.jsOutputFile.length() > 0) {
        options.jsOutputFile = config.jsOutputFile;
    }
    if (config.createSourceMap.length() > 0) {
        options.sourceMapOutputPath = config.createSourceMap;
    }
    options.sourceMapDetailLevel = config.sourceMapDetailLevel;
    if (!config.variableMapInputFile.equals("""")) {
        options.inputVariableMapSerialized = VariableMap.load(config.variableMapInputFile).toBytes();
    }
    if (!config.propertyMapInputFile.equals("""")) {
        options.inputPropertyMapSerialized = VariableMap.load(config.propertyMapInputFile).toBytes();
    }
}",2,0.5238095238095238,0.3333333333333333,0.0,-0.5,-0.5111637478687978,1.1066666666666674,0.6923076923076923,0.08322946285981374,0.5027586775292536,-0.6967137899713535
"private PrivilegeBits resolvePrivilegeBits(NodeBuilder privileges, String name) {
    NodeBuilder def = privileges.getChildNode(name);
    PropertyState b = def.getProperty(REP_BITS);
    if (b != null) {
        return PrivilegeBits.getInstance(b);
    }
    PrivilegeBits bits = PrivilegeBits.getInstance();
    for (String n : def.getNames(REP_AGGREGATES)) {
        bits.add(resolvePrivilegeBits(privileges, n));
    }
    def.setProperty(bits.asPropertyState(REP_BITS));
    return bits;
}",0,-0.047619047619047616,0.0,0.0,-0.5,-0.415826175981027,0.012820512820513268,0.15384615384615385,-0.053373193627546424,-0.02171703705714575,0.05292870950462264
"protected String resourceKey(T object) {
    return object.getClass().getSimpleName() + ""."" + object.name();
}",1,-0.5238095238095238,-0.3333333333333333,0.0,-1.0,-0.5270812923370379,-0.06060606060606043,-0.3076923076923077,-0.5497312351497682,-0.2542351879984517,0.21548780771828474
"@Override
@CheckForNull
public PropertyState getProperty(String name) {
    checkNotNull(name);
    Template template = getTemplate();
    if (JCR_PRIMARYTYPE.equals(name)) {
        return template.getPrimaryType();
    } else if (JCR_MIXINTYPES.equals(name)) {
        return template.getMixinTypes();
    }
    PropertyTemplate propertyTemplate = template.getPropertyTemplate(name);
    if (propertyTemplate != null) {
        Segment segment = getSegment();
        int ids = 1 + propertyTemplate.getIndex();
        if (template.getChildName() != Template.ZERO_CHILD_NODES) {
            ids++;
        }
        return new SegmentPropertyState(segment.readRecordId(getOffset(0, ids)), propertyTemplate);
    } else {
        return null;
    }
}",1,0.38095238095238093,0.3333333333333333,0.0,0.0,-0.07747889262606276,-0.2527548209366392,0.46153846153846156,-0.05265259221750469,0.10835890449903905,-0.46407993106178796
"void containsMapEntry(@Nonnull String property, @Nonnull Revision revision, boolean exists) {
    if (isNew) {
        throw new IllegalStateException(""Cannot use containsMapEntry() on new document"");
    }
    Operation op = new Operation();
    op.type = Operation.Type.CONTAINS_MAP_ENTRY;
    op.value = exists;
    changes.put(new Key(property, checkNotNull(revision)), op);
}",1,-0.23809523809523808,-0.16666666666666666,0.0,-0.5,-0.3999884917838242,0.3030303030303036,-0.07692307692307693,-0.40539672028979856,-0.16484652183337678,0.21548780771828474
"@Override
public void detach(Component component) {
    webResponse = null;
    super.detach(component);
}",1,-0.42857142857142855,-0.3333333333333333,0.0,-1.0,-0.5023802685784979,-1.124242424242425,-0.46153846153846156,-0.5402660382503017,-0.26094355040042855,0.21548780771828474
"@Nonnull
public String getOakPathOrThrow(String jcrPath) throws RepositoryException {
    String oakPath = getOakPath(jcrPath);
    if (oakPath != null) {
        return oakPath;
    } else {
        throw new RepositoryException(""Invalid name or path: "" + jcrPath);
    }
}",1,-0.23809523809523808,-0.16666666666666666,0.0,-0.5,-0.17229767331050205,-0.4999999999999998,-0.38461538461538464,-0.39500642698554894,-0.2177972253576904,0.21548780771828474
"public void getResult() throws AccumuloException, AccumuloSecurityException, org.apache.thrift.TException {
    if (getState() != org.apache.thrift.async.TAsyncMethodCall.State.RESPONSE_READ) {
        throw new IllegalStateException(""Method call not finished!"");
    }
    org.apache.thrift.transport.TMemoryInputTransport memoryTransport = new org.apache.thrift.transport.TMemoryInputTransport(getFrameBuffer().array());
    org.apache.thrift.protocol.TProtocol prot = client.getProtocolFactory().getProtocol(memoryTransport);
    (new Client(prot)).recv_removeTableProperty();
}",3,-0.2857142857142857,-0.16666666666666666,0.0,-0.5,-0.35601677568456896,2.3768939393939412,0.15384615384615385,-0.2816090834729092,-0.044460654214510245,0.21548780771828474
"public int start() throws IOException {
    if (configError)
        return 1;
    String input;
    if (isVerbose())
        printInfo();
    if (execFile != null) {
        java.util.Scanner scanner = new java.util.Scanner(new File(execFile));
        while (scanner.hasNextLine()) execCommand(scanner.nextLine(), true, isVerbose());
    } else if (execCommand != null) {
        for (String command : execCommand.split(""\n"")) {
            execCommand(command, true, isVerbose());
        }
        return exitCode;
    }
    while (true) {
        if (hasExited())
            return exitCode;
        reader.setDefaultPrompt(getDefaultPrompt());
        input = reader.readLine();
        if (input == null) {
            reader.printNewline();
            return exitCode;
        }
                execCommand(input, false, false);
    }
}",1,0.6190476190476191,1.1666666666666667,0.0,0.0,0.06707748351829085,-0.44444444444444453,0.7692307692307693,0.09039652553266077,0.3087539944265144,-0.7377227100170015
"public static PathLocale getLocaleFromFilename(String path) {
    String extension = """";
    int pos = path.lastIndexOf('.');
    if (pos != -1) {
        extension = path.substring(pos);
        path = path.substring(0, pos);
    }
    String filename = Strings.lastPathComponent(path, '/');
    Matcher matcher = LOCALE_PATTERN.matcher(filename);
    if (matcher.find()) {
        String language = matcher.group(1);
        String country = matcher.group(3);
        String variant = matcher.group(5);
                if (language != null) {
            if (isoLanguages.contains(language) == false) {
                language = null;
                country = null;
                variant = null;
            }
        }
                if ((language != null) && (country != null)) {
            if (isoCountries.contains(country) == false) {
                country = null;
                variant = null;
            }
        }
        if (language != null) {
            pos = path.length() - filename.length() + matcher.start();
            String basePath = path.substring(0, pos) + extension;
            Locale locale = new Locale(language, country != null ? country : """", variant != null ? variant : """");
            return new PathLocale(basePath, locale);
        }
    }
    return new PathLocale(path + extension, null);
}",1,1.0,0.8333333333333334,1.0,0.5,0.4506148288777908,0.029004329004329404,0.8461538461538461,1.3870213843337356,1.7482806677509333,-1.0177795374618626
"@SuppressWarnings(""rawtypes"")
protected void validateHasMethod(CamelContext context, Object bean, String method, Class parameterType) {
    if (method == null) {
        return;
    }
    BeanInfo info = new BeanInfo(context, bean.getClass());
    List<Class> parameterTypes = new ArrayList<Class>();
    if (parameterType != null) {
        parameterTypes.add(parameterType);
    }
    if (!info.hasMethod(method, parameterTypes)) {
        throw ObjectHelper.wrapRuntimeCamelException(new MethodNotFoundException(null, bean, method, parameterTypes));
    }
}",1,0.0,0.16666666666666666,0.0,-0.5,-0.28232182085336355,0.14880952380952397,0.0,0.14138394422155573,0.08405592813254764,-0.050003493490463215
"@Override
public ConcurrentMap<K, V> asMap() {
    return new ConcurrentMap<K, V>() {

        @Override
        public int size() {
            long size = CacheLIRS.this.size();
            return (int) Math.min(size, Integer.MAX_VALUE);
        }

        @Override
        public boolean isEmpty() {
            return CacheLIRS.this.size() == 0;
        }

        @Override
        public boolean containsKey(Object key) {
            return CacheLIRS.this.containsKey(key);
        }

        @Override
        public boolean containsValue(Object value) {
            return CacheLIRS.this.containsValue(value);
        }

        @SuppressWarnings(""unchecked"")
        @Override
        public V get(Object key) {
            return CacheLIRS.this.getUnchecked((K) key);
        }

        @Override
        public V put(K key, V value) {
            return CacheLIRS.this.put(key, value, sizeOf(key, value));
        }

        @Override
        public V remove(Object key) {
            @SuppressWarnings(""unchecked"")
            V old = CacheLIRS.this.getUnchecked((K) key);
            CacheLIRS.this.invalidate(key);
            return old;
        }

        @Override
        public void putAll(Map<? extends K, ? extends V> m) {
            for (Map.Entry<? extends K, ? extends V> e : m.entrySet()) {
                put(e.getKey(), e.getValue());
            }
        }

        @Override
        public void clear() {
            CacheLIRS.this.clear();
        }

        @Override
        public Set<K> keySet() {
            return CacheLIRS.this.keySet();
        }

        @Override
        public Collection<V> values() {
            return CacheLIRS.this.values();
        }

        @Override
        public Set<java.util.Map.Entry<K, V>> entrySet() {
            return CacheLIRS.this.entrySet();
        }

        @Override
        public V putIfAbsent(K key, V value) {
            return CacheLIRS.this.putIfAbsent(key, value);
        }

        @Override
        public boolean remove(Object key, Object value) {
            return CacheLIRS.this.remove(key, value);
        }

        @Override
        public boolean replace(K key, V oldValue, V newValue) {
            return CacheLIRS.this.replace(key, oldValue, newValue);
        }

        @Override
        public V replace(K key, V value) {
            return CacheLIRS.this.replace(key, value);
        }
    };
}",1,2.9523809523809526,-0.16666666666666666,0.0,0.5,-0.2369482717975405,-0.43560606060606066,2.5384615384615383,1.5538211350445992,3.6731494555199182,-1.6836481356405892
"protected long calculateDelay(Exchange exchange) {
        Object result = maxRequestsPerPeriodExpression.evaluate(exchange, Object.class);
    if (result == null) {
        throw new RuntimeExchangeException(""The max requests per period expression was evaluated as null: "" + maxRequestsPerPeriodExpression, exchange);
    }
        Long longValue = exchange.getContext().getTypeConverter().convertTo(Long.class, result);
    if (longValue != null) {
                if (maximumRequestsPerPeriod > 0 && longValue.longValue() != maximumRequestsPerPeriod) {
            log.debug(""Throttler changed maximum requests per period from {} to {}"", maximumRequestsPerPeriod, longValue);
        }
        if (maximumRequestsPerPeriod > longValue) {
            slot.capacity = 0;
        }
        maximumRequestsPerPeriod = longValue;
    }
    if (maximumRequestsPerPeriod <= 0) {
        throw new IllegalStateException(""The maximumRequestsPerPeriod must be a positive number, was: "" + maximumRequestsPerPeriod);
    }
    TimeSlot slot = nextSlot();
    if (!slot.isActive()) {
        long delay = slot.startTime - currentSystemTime();
        return delay;
    } else {
        return 0;
    }
}",3,0.5714285714285714,0.6666666666666666,1.0,0.5,0.019232845467536102,0.5477855477855481,0.3076923076923077,0.5701223074825691,0.5586059839445108,-0.6721196171134451
"public RealVector solve(final RealVector b) throws IllegalArgumentException, InvalidMatrixException {
    if (b.getDimension() != uT.getColumnDimension()) {
        throw MathRuntimeException.createIllegalArgumentException(""vector length mismatch: got {0} but expected {1}"", b.getDimension(), uT.getColumnDimension());
    }
    final RealVector w = uT.operate(b);
    for (int i = 0; i < singularValues.length; ++i) {
        final double si = singularValues[i];
        if (si == 0) {
            throw new SingularMatrixException();
        }
        w.setEntry(i, w.getEntry(i) / si);
    }
    return v.operate(w);
}",1,0.0,0.16666666666666666,0.0,0.0,-0.07313137454991026,0.44588744588744655,0.23076923076923078,0.34327893117282743,0.211893802122519,-0.08233924121387169
"@Override
public int hashCode() {
    if (getType() == PropertyType.BINARY) {
        return propertyState.getValue(Type.BINARY, index).hashCode();
    } else {
        return propertyState.getValue(Type.STRING, index).hashCode();
    }
}",1,-0.2857142857142857,-0.16666666666666666,0.0,-0.5,-0.11406666248173107,-0.5464015151515152,-0.15384615384615385,-0.354204806606162,-0.19551628141544292,0.21548780771828474
